NAME,pop_total,households_total,zcta
ZCTA5 95969,7804,3447,95969
ZCTA5 95970,494,172,95970
ZCTA5 95971,6288,2138,95971
ZCTA5 95972,0,0,95972
ZCTA5 95973,37977,15024,95973
ZCTA5 95974,93,59,95974
ZCTA5 95975,1615,649,95975
ZCTA5 95977,1738,660,95977
ZCTA5 95978,283,65,95978
ZCTA5 95979,475,209,95979
ZCTA5 95981,60,28,95981
ZCTA5 95982,2971,1120,95982
ZCTA5 95983,360,154,95983
ZCTA5 95984,209,100,95984
ZCTA5 95986,110,42,95986
ZCTA5 95987,6489,2010,95987
ZCTA5 95988,9060,3082,95988
ZCTA5 95991,42490,14638,95991
ZCTA5 95993,38957,12792,95993
ZCTA5 96001,34109,13008,96001
ZCTA5 96002,34023,12929,96002
ZCTA5 96003,44068,18125,96003
ZCTA5 96006,513,164,96006
ZCTA5 96007,25009,9824,96007
ZCTA5 96008,1086,427,96008
ZCTA5 96009,380,135,96009
ZCTA5 96010,119,11,96010
ZCTA5 96011,157,62,96011
ZCTA5 96013,3929,1648,96013
ZCTA5 96014,285,110,96014
ZCTA5 96015,523,136,96015
ZCTA5 96016,297,139,96016
ZCTA5 96017,132,68,96017
ZCTA5 96019,10413,3970,96019
ZCTA5 96020,2404,1084,96020
ZCTA5 96021,15076,5219,96021
ZCTA5 96022,16497,6019,96022
ZCTA5 96023,1128,500,96023
ZCTA5 96024,1029,392,96024
ZCTA5 96025,2150,1031,96025
ZCTA5 96027,1872,794,96027
ZCTA5 96028,1667,605,96028
ZCTA5 96029,117,35,96029
ZCTA5 96031,70,43,96031
ZCTA5 96032,2629,1088,96032
ZCTA5 96033,245,101,96033
ZCTA5 96034,325,144,96034
ZCTA5 96035,3968,1535,96035
ZCTA5 96037,131,63,96037
ZCTA5 96038,399,209,96038
ZCTA5 96039,647,306,96039
ZCTA5 96040,88,39,96040
ZCTA5 96041,3413,1124,96041
ZCTA5 96044,1181,499,96044
ZCTA5 96046,410,39,96046
ZCTA5 96047,857,381,96047
ZCTA5 96048,1197,327,96048
ZCTA5 96050,369,217,96050
ZCTA5 96051,885,476,96051
ZCTA5 96052,2817,675,96052
ZCTA5 96054,242,119,96054
